Unit Model,Project,Unit Type,Unit Numbers,Num Bedrooms,Num Bathrooms,Interior Square Ft,Exterior Square Ft,Price,AVG PSF,Floor Plan,Facing Direction,Exterior Type
1288 Sq.ft.,The Bedford Condos,Suite,,2 Bed,2 Bath,1288 sq.ft,,"$2,369,900",,,North,
1291 Sq.ft.,The Bedford Condos,Suite,,2.5 Bed,2 Bath,1291 sq.ft,,"$2,899,900",,,NorthWest,
1472 Sq.ft.,The Bedford Condos,Suite,,2.5 Bed,2.5 Bath,1472 sq.ft,,"$3,399,900",,,SouthEast,
1478 Sq.ft.,The Bedford Condos,Suite,,2 Bed,2.5 Bath,1478 sq.ft,,"$3,459,900",,,South,
1595 Sq.ft.,The Bedford Condos,Suite,,2.5 Bed,2.5 Bath,1595 sq.ft,,"$2,699,900",,,West,
1624 Sq.ft.,The Bedford Condos,Suite,,2 Bed,2.5 Bath,1624 sq.ft,,"$3,599,900",,,South,
1655 Sq.ft.,The Bedford Condos,Suite,,2.5 Bed,2 Bath,1655 sq.ft,,"$4,199,900",,,SouthWest,
1710 Sq.ft.,The Bedford Condos,Suite,,2.5 Bed,2.5 Bath,1710 sq.ft,,"$3,499,900",,,South,
2019 Sq.ft.,The Bedford Condos,Suite,,3.5 Bed,2.5 Bath,2019 sq.ft,,"$4,799,900",,,SouthWest,
2179 Sq.ft.,The Bedford Condos,Suite,,3 Bed,3.5 Bath,2179 sq.ft,,"$5,229,900",,,SouthWest,
2197 Sq.ft.,The Bedford Condos,Suite,,3.5 Bed,3.5 Bath,2197 sq.ft,,"$5,449,900",,,SouthEast,
2272 Sq.ft.,The Bedford Condos,Suite,,3.5 Bed,2.5 Bath,2272 sq.ft,,"$5,249,900",,,SouthWest,
3586 Sq.ft.,The Bedford Condos,Suite,,3.5 Bed,3.5 Bath,3586 sq.ft,,"$9,999,900",,,NorthSouthWest,
The West Don,Harrington Residences Towns,Suite,,1 Bed,1 Bath,602 sq.ft,,"$599,000",,,North,
The Glen,Harrington Residences Towns,Suite,,1 Bed,1 Bath,632 sq.ft,,"$618,000",,,NorthWest,
The Buffalo,Harrington Residences Towns,Suite,,1 Bed,1 Bath,654 sq.ft,,"$649,000",,,NorthWest,
The Wales,Harrington Residences Towns,Suite,,2 Bed,2 Bath,716 sq.ft,,"$699,000",,,South,
The Wales,Harrington Residences Towns,Suite,,2 Bed,2 Bath,716 sq.ft,,"$699,000",,,South,
The Willow,Harrington Residences Towns,Suite,,2 Bed,2 Bath,730 sq.ft,,"$739,000",,,South,
The North,Harrington Residences Towns,Suite,,2 Bed,2 Bath,732 sq.ft,,"$749,000",,,South,
The Argyle,Harrington Residences Towns,Suite,,2 Bed,2 Bath,878 sq.ft,,"$849,000",,,South,
The Ichimatsu,Harrington Residences Towns,Suite,,2 Bed,2 Bath,878 sq.ft,,"$849,000",,,South,
The Dupplin (Townhome),Harrington Residences Towns,Suite,,3 Bed,2.5 Bath,1375 sq.ft,,"$1,195,000",,,NorthSouth,
The Dupplin (Townhome),Harrington Residences Towns,Suite,,3 Bed,2.5 Bath,1375 sq.ft,,"$1,195,000",,,NorthSouth,
The Dupplin (Townhome),Harrington Residences Towns,Suite,,3 Bed,2.5 Bath,1375 sq.ft,,"$1,195,000",,,NorthSouth,
The Wallace (Townhome),Harrington Residences Towns,Suite,,3 Bed,2.5 Bath,1412 sq.ft,,"$1,269,000",,,NorthSouth,
The North,Harrington Residences Towns,Suite,,2 Bed,2 Bath,732 sq.ft,,,,,South,
Townhome 1 (Sophie) (To...,Hillhurst Towns,Suite,,3 Bed,3 Bath,1800 sq.ft,,"$2,300,000",,,North East,
Townhome 3 (Sylvia) (To...,Hillhurst Towns,Suite,,3 Bed,3 Bath,2077 sq.ft,,"$2,550,000",,,NorthSouth,
Townhome 4 (Alice) (Tow...,Hillhurst Towns,Suite,,3 Bed,3 Bath,2077 sq.ft,,"$2,600,000",,,NorthSouth,
Townhome 2 (Celine) (To...,Hillhurst Towns,Suite,,3 Bed,3 Bath,2260 sq.ft,,"$2,800,000",,,South East,
Model B443-2 (The Fairw...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,443 sq.ft,,"$715,000",,,South,
Model B449 (The Fairway...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,449 sq.ft,,"$652,000",,,South,
Model B488 (The Park To...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,488 sq.ft,,"$729,000",,,South,
Model B535 (The City To...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,535 sq.ft,,"$741,000",,,North,
Model C537 (The Fairway...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,537 sq.ft,,"$810,000",,,North,
Model C541 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,541 sq.ft,,"$873,000",,,North,
Model C542 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,542 sq.ft,,"$795,000",,,South,
Model C546 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,546 sq.ft,,"$1,021,000",,,West,
Model C550 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,550 sq.ft,,"$748,000",,,West,
Model C551 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,551 sq.ft,,"$936,000",,,West,
Model C564 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,564 sq.ft,,"$906,000",,,South East,
Model C606 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,606 sq.ft,,"$1,081,000",,,South East,
Model D637 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,637 sq.ft,,"$871,000",,,East,
Model D641 (The Park To...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,641 sq.ft,,"$1,150,000",,,West,
Model F661 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,661 sq.ft,,"$929,000",,,East,
Model F677 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,677 sq.ft,,"$985,000",,,East,
Model F679 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,679 sq.ft,,"$985,000",,,East,
Model F680 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,680 sq.ft,,"$991,000",,,East,
Model F682 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,682 sq.ft,,"$884,000",,,East,
Model F703 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,703 sq.ft,,"$959,000",,,East,
Model F727 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,727 sq.ft,,"$1,218,000",,,West,
Model H847 (The Park To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,847 sq.ft,,"$1,595,000",,,North WestSouth West,
Model H886 (The Park To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,886 sq.ft,,"$1,501,000",,,North West,
Model H1179 (The Park T...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,1179 sq.ft,,"$2,231,000",,,West,
Model H1188 (The Park T...,Yonge City Square Condos,Suite,,3 Bed,3 Bath,1188 sq.ft,,"$1,890,000",,,West,
Model S-1 (The Park Tow...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,325 sq.ft,,,,,North,
Model S-10 (The Park To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,325 sq.ft,,,,,South,
Model S-3 (The Plaza Co...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,332 sq.ft,,,,,North,
Model S-2 (The Plaza Co...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,332 sq.ft,,,,,North,
Model S-5 (The Plaza Co...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,332 sq.ft,,,,,North,
Model S-4 (The Plaza Co...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,332 sq.ft,,,,,North,
Model S-3 & S5 (The Pla...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,338 sq.ft,,,,,North,
Model S-2 & S4 (The Pla...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,338 sq.ft,,,,,North,
Model S-9 (The Fairways...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,339 sq.ft,,,,,South,
Model S-7 (The Fairways...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,339 sq.ft,,,,,South,
Model S-8 (The Fairways...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,339 sq.ft,,,,,South,
Model S-6 (The Fairways...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,339 sq.ft,,,,,South,
Model S-11 (The City To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,360 sq.ft,,,,,North,
Model S-12 (The City To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,364 sq.ft,,,,,South,
Model S-14 (The Plaza C...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,366 sq.ft,,,,,South,
Model S-12 (The City To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,371 sq.ft,,,,,South,
Model S-14 (The Plaza C...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,372 sq.ft,,,,,South,
Model S-15 (The City To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,386 sq.ft,,,,,East,
Model S-17 (The City To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,388 sq.ft,,,,,East,
Model S-16 (The City To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,389 sq.ft,,,,,East,
Model S-18 (The Fairway...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,394 sq.ft,,,,,South,
Model S-13 (The Plaza C...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,395 sq.ft,,,,,South,
Model S-13 (The Plaza C...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,401 sq.ft,,,,,South,
Model S-20 (The Fairway...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,401 sq.ft,,,,,North,
Model S-19 (The Fairway...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,403 sq.ft,,,,,South,
Model S-21 (The Park To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,408 sq.ft,,,,,East,
Model S-22 (The Park To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,408 sq.ft,,,,,East,
Model B441 (The Fairway...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,441 sq.ft,,,,,North,
Model 1B-1 (The Park To...,Yonge City Square Condos,Suite,,0 Bed,1 Bath,442 sq.ft,,,,,East,
Model B443 (The Fairway...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,443 sq.ft,,,,,South,
Model B450 (The Fairway...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,450 sq.ft,,,,,South,
Model B455-1 (The City ...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,455 sq.ft,,,,,South,
Model B455 (The Fairway...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,455 sq.ft,,,,,North,
Model 1B-2 (The Fairway...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,462 sq.ft,,,,,North,
Model 1B-5 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,462 sq.ft,,,,,South,
Model 1B-3 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,462 sq.ft,,,,,South,
Model 1B-4 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,462 sq.ft,,,,,South,
Model 1B-3 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,470 sq.ft,,,,,South,
Model 1B-4 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,470 sq.ft,,,,,South,
Model 1B-6 (The Park To...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,471 sq.ft,,,,,South,
Model B475 (The City To...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,475 sq.ft,,,,,South,
Model 1B-7 (The Park To...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,480 sq.ft,,,,,East,
Model 1B-22-1 (The Park...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,487 sq.ft,,,,,West,
Model 1B-8 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,493 sq.ft,,,,,North,
Model 1B-8 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,500 sq.ft,,,,,North,
Model 1B-9 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,503 sq.ft,,,,,North,
Model 1B-19-1 (The Park...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,505 sq.ft,,,,,West,
Model 1B-10 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,509 sq.ft,,,,,West,
Model 1B-9 (The Plaza C...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,512 sq.ft,,,,,North,
Model 1B-11 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,517 sq.ft,,,,,West,
Model 1B-12 (The Fairwa...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,518 sq.ft,,,,,North,
Model 1B-16 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,522 sq.ft,,,,,North,
Model 1B-15 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,528 sq.ft,,,,,West,
Model 1B-13 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,531 sq.ft,,,,,South,
Model 1B-14 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,531 sq.ft,,,,,South,
Model 1M-16 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,532 sq.ft,,,,,North,
Model C534 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,534 sq.ft,,,,,North,
Model 1B-22 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,536 sq.ft,,,,,West,
Model 1B-17-1 (The City...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,541 sq.ft,,,,,West,
Model 1B-18 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,541 sq.ft,,,,,West,
Model 1B-18 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,541 sq.ft,,,,,West,
Model 1B-13 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,541 sq.ft,,,,,South,
Model 1B-17 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,541 sq.ft,,,,,West,
Model C543 (The Fairway...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,543 sq.ft,,,,,North,
Model B545 (The City To...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,545 sq.ft,,,,,North,
Model 1B-18-1 (The City...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,552 sq.ft,,,,,West,
Model 1B-17 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,552 sq.ft,,,,,West,
Model 1F-1 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,554 sq.ft,,,,,SouthEast,
Model 1B-19 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,556 sq.ft,,,,,West,
Model C563 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,563 sq.ft,,,,,SouthEast,
Model 1B-20 (The City T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,565 sq.ft,,,,,North,
Model 1F-5 (The Fairway...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,571 sq.ft,,,,,North,
Model 1F-7 (The Fairway...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,572 sq.ft,,,,,North,
Model 1F-2 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,574 sq.ft,,,,,East,
Model 1B-21 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,574 sq.ft,,,,,SouthEast,
Model 1F-3 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,575 sq.ft,,,,,East,
Model 1M-20 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,576 sq.ft,,,,,North,
Model 1F-9 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,576 sq.ft,,,,,West,
Model 1F-10 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,576 sq.ft,,,,,West,
Model 1F-6 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,577 sq.ft,,,,,East,
Model 1F-8 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,577 sq.ft,,,,,East,
Model 1F-4 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,580 sq.ft,,,,,East,
Model 1F-12 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,580 sq.ft,,,,,East,
Model 1B-13-2 (The City...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,584 sq.ft,,,,,South,
Model 1B-21 (The Park T...,Yonge City Square Condos,Suite,,1 Bed,1 Bath,586 sq.ft,,,,,SouthEast,
Model D586 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,586 sq.ft,,,,,West,
Model 1F-10 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,587 sq.ft,,,,,West,
Model 1F-9 (The City To...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,587 sq.ft,,,,,West,
Model 1F-11 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,591 sq.ft,,,,,East,
Model 1F-13 (The City T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,592 sq.ft,,,,,East,
Model 1B-21-1 (The Park...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,595 sq.ft,,,,,West,
Model 1F-14 (The Fairwa...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,599 sq.ft,,,,,North,
Model 1F-17 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,601 sq.ft,,,,,West,
Model 1F-18 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,601 sq.ft,,,,,West,
Model 1F-15 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,605 sq.ft,,,,,SouthEast,
Model 1F-16 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,607 sq.ft,,,,,NorthEast,
Model 1F-20 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,614 sq.ft,,,,,East,
Model 1F-19 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,615 sq.ft,,,,,East,
Model 1F-21 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,619 sq.ft,,,,,West,
Model 1F-22 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,620 sq.ft,,,,,West,
Model 1F-19-1 (The Park...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,626 sq.ft,,,,,East,
Model 1F-20-1 (The Park...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,627 sq.ft,,,,,East,
Model 1F-19 (The Park T...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,632 sq.ft,,,,,East,
Model 1F-15-1 (The Park...,Yonge City Square Condos,Suite,,1.5 Bed,1 Bath,638 sq.ft,,,,,SouthEast,
Model 2B-4 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,649 sq.ft,,,,,East,
Model 2B-2-1 (The City ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,649 sq.ft,,,,,West,
Model 2B-2 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,649 sq.ft,,,,,West,
Model 2B-3 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,653 sq.ft,,,,,SouthEast,
Model 2B-6 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,657 sq.ft,,,,,NorthEast,
Model 2B-2 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,662 sq.ft,,,,,West,
Model 2B-7 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,666 sq.ft,,,,,West,
Model 2B-7 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,666 sq.ft,,,,,West,
Model 2B-5 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,669 sq.ft,,,,,East,
Model 2B-4-1 (The Park ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,669 sq.ft,,,,,East,
Model F669 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,669 sq.ft,,,,,West,
Model 2M-4 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,670 sq.ft,,,,,East,
Model 2M-5 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,670 sq.ft,,,,,East,
Model 2M-6 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,672 sq.ft,,,,,East,
Model 2M-3 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,672 sq.ft,,,,,East,
Model 2B-2-1 (The City ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,672 sq.ft,,,,,West,
Model 2M-8 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,673 sq.ft,,,,,SouthEast,
Model 2B-7-1 (The City ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,673 sq.ft,,,,,West,
Model 2B-5 (The Fairway...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,674 sq.ft,,,,,East,
Model 2B-7 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,679 sq.ft,,,,,West,
Model 2M-10 (The City T...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,680 sq.ft,,,,,East,
Model 2M-5 (The City To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,680 sq.ft,,,,,East,
Model 2M-4 (The City To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,680 sq.ft,,,,,East,
Model 2B-10 (The City T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,680 sq.ft,,,,,West,
Model F683 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,683 sq.ft,,,,,East,
Model 2M-9 (The Park To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,683 sq.ft,,,,,East,
Model 2M-3 (The City To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,683 sq.ft,,,,,East,
Model 2M-6 (The City To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,685 sq.ft,,,,,East,
Model 2B-9 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,687 sq.ft,,,,,East,
Model 2B-7-1 (The City ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,688 sq.ft,,,,,West,
Model 2M-7 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,688 sq.ft,,,,,East,
Model 1F-23 (The Plaza ...,Yonge City Square Condos,Suite,,1.5 Bed,2 Bath,693 sq.ft,,,,,South,
Model F697 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,697 sq.ft,,,,,East,
Model 2M-7 (The City To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,698 sq.ft,,,,,East,
Model 2B-9 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,700 sq.ft,,,,,East,
Model 2B-11-1 (The Park...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,701 sq.ft,,,,,West,
Model 2B-9-2 (The Park ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,702 sq.ft,,,,,East,
Model 2M-1-1 (The Park ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,703 sq.ft,,,,,East,
Model 2M-1 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,703 sq.ft,,,,,East,
Model 2M-8 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,706 sq.ft,,,,,East,
Model 2B-11 (The Park T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,711 sq.ft,,,,,West,
Model 2M-9 (The Park To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,711 sq.ft,,,,,West,
Model 2M-1 (The Park To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,715 sq.ft,,,,,East,
Model 2B-9-2 (The Park ...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,715 sq.ft,,,,,East,
Model 2M-8 (The Park To...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,719 sq.ft,,,,,East,
Model 2B-12 (The City T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,727 sq.ft,,,,,SouthEast,
Model 2M-1-1 (The Park ...,Yonge City Square Condos,Suite,,2.5 Bed,2 Bath,734 sq.ft,,,,,East,
Model 2B-16 (The Park T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,752 sq.ft,,,,,NorthWest,
Model 2B-15 (The Park T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,752 sq.ft,,,,,SouthWest,
Model 2B-13 (The City T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,753 sq.ft,,,,,NorthEast,
Model 2B-14 (The City T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,756 sq.ft,,,,,SouthWest,
Model 2B-1 (The Plaza C...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,761 sq.ft,,,,,South East,
Model F767 (The City To...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,767 sq.ft,,,,,NorthEast,
Model 2B-17 (The City T...,Yonge City Square Condos,Suite,,2 Bed,2 Bath,798 sq.ft,,,,,NorthEast,
Model 3B-1 (The Park To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,824 sq.ft,,,,,SouthWest,
Model 3B-2 (The Park To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,824 sq.ft,,,,,NorthWest,
Model H850 (The City To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,850 sq.ft,,,,,SouthWest,
Model 3B-3 (The Park To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,872 sq.ft,,,,,NorthWest,
Model 3B-4 (The City To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,893 sq.ft,,,,,NorthWest,
Model 3B-4-1 (The City ...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,893 sq.ft,,,,,NorthWest,
Model 3B-4-1 (The City ...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,907 sq.ft,,,,,NorthWest,
Model 3B-4 (The City To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,913 sq.ft,,,,,NorthWest,
Model 3B-5 (The City To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,915 sq.ft,,,,,NorthEast,
Model 3B -7 (The City T...,Yonge City Square Condos,Suite,,3 Bed,3 Bath,921 sq.ft,,,,,SouthWest,
Model 3B-4-1 (The City ...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,927 sq.ft,,,,,NorthWest,
Model 3B-6 (The City To...,Yonge City Square Condos,Suite,,3 Bed,3 Bath,928 sq.ft,,,,,SouthEastWest,
Model 3B-5 (The City To...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,931 sq.ft,,,,,NorthEast,
Model 3B-7 (The City To...,Yonge City Square Condos,Suite,,3 Bed,3 Bath,935 sq.ft,,,,,SouthWest,
Model 3? (The Park Towe...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,951 sq.ft,,,,,NorthEast,
Model 3? (The Park Towe...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,954 sq.ft,,,,,East,
Model 3? (The Park Towe...,Yonge City Square Condos,Suite,,3 Bed,2 Bath,958 sq.ft,,,,,NorthEast,
Model 3B-9 (The Park To...,Yonge City Square Condos,Suite,,3 Bed,3 Bath,1005 sq.ft,,,,,SouthWest,
